id,title,location_id,location_name,location_slug,city,property_type,area_sqft,bedrooms,bathrooms,property_age,floor_number,total_floors,amenities,amenity_count,has_parking,has_power_backup,has_security,has_gym,has_pool,has_clubhouse,lat,lng,base_micro_price_sqft,fair_value_sqft,fair_value_total,current_price,monthly_rent,rental_yield,infra_score,flood_risk_score,demand_index,supply_index,selling_days,status,listed_date
1,2 BHK Apartment in Adyar,11,Adyar,adyar,Chennai,Apartment,1229,2,2,7,4,12,"[""Gymnasium"", ""Intercom""]",2,False,False,False,True,False,False,13.0088,80.25492,15800,15155,18625495,17880475,40355,2.6,93,38,88,38,42,Active,2026-01-01
2,2 BHK Independent House in Velachery,2,Velachery,velachery,Chennai,Independent House,3169,2,2,2,1,3,"[""Power Backup"", ""Intercom"", ""Children Play Area"", ""Gymnasium"", ""Rainwater Harvesting""]",5,False,True,False,True,False,False,12.98979,80.22278,7800,8615,27300935,28665982,104654,4.6,82,78,79,62,75,Sold,2026-07-01
3,3 BHK Apartment in Tambaram,3,Tambaram,tambaram,Chennai,Apartment,1628,3,3,10,4,8,"[""Gymnasium""]",1,False,False,False,True,False,False,12.92067,80.13245,5100,4420,7195760,7339675,22787,3.8,79,32,84,54,60,Sold,2026-07-12
4,2 BHK Apartment in Perungudi,10,Perungudi,perungudi,Chennai,Apartment,872,2,2,3,18,18,"[""Gymnasium"", ""Intercom"", ""24/7 Security"", ""Children Play Area""]",4,False,False,True,True,False,False,12.97922,80.24959,7500,8443,7362296,7951280,27609,4.5,86,58,77,60,72,Active,2026-07-12
5,2 BHK Apartment in Perungudi,10,Perungudi,perungudi,Chennai,Apartment,885,2,2,9,2,5,"[""Power Backup""]",1,False,True,False,False,False,False,12.96991,80.24208,7500,6523,5772855,5541941,21648,4.5,86,58,77,60,72,Active,2026-04-21
6,2 BHK Apartment in Guindy,6,Guindy,guindy,Chennai,Apartment,1031,2,2,2,5,10,"[""Clubhouse"", ""Intercom"", ""Power Backup"", ""Gymnasium"", ""EV Charging Station""]",5,False,True,False,True,False,True,13.00464,80.18915,11500,12350,12732850,12987507,41382,3.9,96,30,78,45,52,Sold,2026-06-23
7,2 BHK Gated Community Apartment in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Gated Community Apartment,1016,2,2,1,2,5,"[""Covered Car Parking"", ""Children Play Area"", ""24/7 Security"", ""Swimming Pool"", ""Gymnasium"", ""EV Charging Station"", ""Clubhouse"", ""Intercom""]",8,True,False,True,True,True,True,12.86199,80.23009,9200,11473,11656568,12589093,31084,3.2,75,68,69,52,90,Active,2026-06-15
8,2 BHK Apartment in Tambaram,3,Tambaram,tambaram,Chennai,Apartment,976,2,2,8,18,21,"[""Children Play Area"", ""Rainwater Harvesting"", ""Covered Car Parking"", ""Gymnasium"", ""Intercom""]",5,True,False,False,True,False,False,12.9267,80.13588,5100,5035,4914160,5159868,15562,3.8,79,32,84,54,60,Active,2026-07-02
9,2 BHK Apartment in Velachery,2,Velachery,velachery,Chennai,Apartment,931,2,2,12,3,17,"[""Rainwater Harvesting"", ""EV Charging Station"", ""24/7 Security"", ""Intercom""]",4,False,False,True,False,False,False,12.99015,80.20814,7800,7111,6620341,6355527,25378,4.6,82,78,79,62,75,Active,2026-01-22
10,4 BHK Independent House in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Independent House,2493,4,4,11,1,1,"[""Clubhouse"", ""EV Charging Station"", ""Swimming Pool"", ""Covered Car Parking""]",4,True,False,False,False,True,True,12.86681,80.25604,9200,8271,20619603,22269171,54986,3.2,75,68,69,52,90,Sold,2026-05-25
11,4 BHK Villa in Tambaram,3,Tambaram,tambaram,Chennai,Villa,2635,4,4,10,1,3,"[""Rainwater Harvesting"", ""Power Backup"", ""Clubhouse"", ""EV Charging Station"", ""Gymnasium"", ""24/7 Security""]",6,False,True,True,True,False,True,12.91942,80.13009,5100,6213,16371255,17189818,51842,3.8,79,32,84,54,60,Active,2026-05-11
12,1 BHK Apartment in Sholinganallur,8,Sholinganallur,sholinganallur,Chennai,Apartment,612,1,1,1,4,13,"[""Rainwater Harvesting"", ""Gymnasium""]",2,False,False,False,True,False,False,12.90535,80.22494,6100,6209,3799908,3647912,13933,4.4,84,62,72,78,105,Active,2026-07-03
13,3 BHK Apartment in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Apartment,1411,3,3,8,6,21,"[""Rainwater Harvesting"", ""Children Play Area"", ""Power Backup"", ""24/7 Security"", ""Covered Car Parking""]",5,True,True,True,False,False,False,12.85688,80.23576,9200,8288,11694368,12629917,31185,3.2,75,68,69,52,90,Sold,2026-03-13
